"id","tekra_id","tekra_slug","asbis_id","asbis_code","external_id","name_en","name_bg","slug","category_path","show_flag","sort_order","parent_id","platform","is_promo_active","created_at","updated_at","created_by","last_modified_by","alias_of_id"
531,,,,,,Gaming mouse,Геймърски мишки,kp-gaming-mouse,,false,1,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,174
966,,,,,,Adapters,Адаптери,konsumativy-adapteri,videonablyudenie/aksesoari/adapteri,true,5,234,TEKRA,false,2026-08-19 11:08:44.413,2026-08-19 15:37:53.531,admin,admin,
532,,,,,,Gaming Keyboards,Геймърски клавиатури,kp-gaming-keyboards,,false,2,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,172
533,,,,,,Gaming pads,Геймърски падове,kp-gaming-pads,,false,3,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,173
534,,,,,,Gaming headset,Геймърски слушалки,kp-gaming-headset,,false,4,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,171
569,,,,,,PC Mini,Мини PC,pc-mini-asbis,other/pc-mini-asbis,false,0,,ASBIS,false,2026-08-06 11:58:55.788,2026-08-06 12:06:45.475,ignatov_rs@abv.bg,ignatov_rs@abv.bg,
535,,,,,,Gaming desks,Геймърски бюра,kp-gaming-desks,,false,5,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,170
536,,,,,,Gaming seats,Геймърски столове,kp-gaming-seats,,false,6,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,169
537,,,,,,Gaming eyewear,Компютърни и геймърски очила,kp-gaming-eyewear,,false,7,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,178
538,,,,,,Gaming Consoles,Гейминг конзоли,kp-gaming-consoles,,false,8,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,168
539,,,,,,Wheels and Pedals,Волани и педали,kp-wheels-and-pedals,,false,9,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,175
540,,,,,,Gamepads,Геймпадове,kp-gamepads,,false,10,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,177
541,,,,,,Wheel Accesories,Аксесоари за Волани,kp-wheel-accesories,,false,11,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,176
542,,,,,,Gaming accessories,Геймърски аксесоари,kp-gaming-accessories,,false,12,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,179
962,,,,,,NVR,NVR,ip-sistemi-zapisvashti-ustrojstva,videonablyudenie/ip-sistemi/zapisvashti-ustroystva,true,2,232,TEKRA,false,2026-08-19 11:08:44.413,2026-08-19 15:37:53.531,admin,admin,
963,,,,,,Network Devices,Мрежови устройства,ip-sistemi-mrezhovi-ustrojstva,videonablyudenie/ip-sistemi/mrezhovi-ustroystva,true,3,232,TEKRA,false,2026-08-19 11:08:44.413,2026-08-19 15:37:53.531,admin,admin,
240,"209",,,,,NVR,NVR,videonablyudenie-ndaa-nvr,videonablyudenie/ndaa/nvr,true,2,233,TEKRA,false,2026-04-02 10:15:20.095,2026-08-19 15:37:53.531,system,system,
241,"210",,,,,Основи за монтаж на камери,Основи за монтаж на камери,videonablyudenie-ndaa-osnovi-za-montazh-na-kameri,videonablyudenie/ndaa/osnovi-za-montazh-na-kameri,true,3,233,TEKRA,false,2026-04-02 10:15:20.118,2026-08-19 15:37:53.531,system,system,
964,,,,,,IP Cameras,IP камери,ndaa-ip-kameri,videonablyudenie/ndaa/ip-kameri,true,1,233,TEKRA,false,2026-08-19 11:08:44.413,2026-08-19 15:37:53.531,admin,admin,
965,,,,,,Network Equipment,Мрежово оборудване,ndaa-mrezhovo-oborudvane,videonablyudenie/ndaa/mrezhovo,true,5,233,TEKRA,false,2026-08-19 11:08:44.413,2026-08-19 15:37:53.531,admin,admin,
877,,,,,,Security - Surveillance Video Recorder,Сигурност - Видеорекордер,security-surveillance-video-recorder-asbis,other-asbis/security-surveillance-video-recorder-asbis,false,0,875,ASBIS,false,2026-08-06 12:30:01.053,2026-08-06 12:36:59.635,ignatov_rs@abv.bg,ignatov_rs@abv.bg,
24,,,,,687,CPU blocks,Блокове за процесори,cpu-blocks,,true,1,23,VALI,false,2026-04-02 10:02:00.881,2026-04-02 10:02:02.839,system,system,
239,"201",,,,,Сървъри,Сървъри,videonablyudenie-ip-sistemi-survuri,videonablyudenie/ip-sistemi/survuri,true,4,232,TEKRA,false,2026-04-02 10:15:20.056,2026-08-19 15:37:53.531,system,system,
242,"212",,,,,Комплект,Комплект,videonablyudenie-ndaa-komplekt,videonablyudenie/ndaa/komplekt,true,4,233,TEKRA,false,2026-04-02 10:15:20.139,2026-08-19 15:37:53.531,system,system,
28,,,,,691,Fittings,Фитинги,fittings,,true,5,23,VALI,false,2026-04-02 10:02:00.889,2026-04-02 10:02:02.840,system,system,
243,"214",,,,,Сървър,Сървър,videonablyudenie-ndaa-survur,videonablyudenie/ndaa/survur,true,6,233,TEKRA,false,2026-04-02 10:15:20.176,2026-08-19 15:37:53.531,system,system,
574,,,,,,Accessories for Flexible,Аксесоари за флексибилни устройства,accessories-for-flexible,other/accessories-for-flexible,false,0,,ASBIS,false,2026-08-06 11:58:55.834,2026-08-06 12:06:45.475,ignatov_rs@abv.bg,ignatov_rs@abv.bg,
35,,,,,583,Computer accessories,Аксесоари за компютри,computer-accessories,,true,4,31,VALI,false,2026-04-02 10:02:00.901,2026-04-02 10:02:02.841,system,system,
382,,,,,,Захранване,Захранване,zahranvane,zahranvane-i-kabeli/zahranvane,false,0,1,ASBIS,false,2026-05-19 15:47:30.116,2026-08-06 12:36:15.225,system,system,
408,,,,,,Мишка,Мишка,mishka,periferiya/mishka,false,0,54,ASBIS,false,2026-05-19 15:47:30.439,2026-08-06 12:36:15.225,system,system,
258,,,,,,Networking - Cloud Keys & Gateways - Cloud Key Enterprise,Мрежово - Cloud Key Enterprise,networking-cloud-keys-gateways-cloud-key-enterprise,other/networking-cloud-keys-gateways-cloud-key-enterprise,false,0,99,ASBIS,false,2026-05-19 15:47:28.691,2026-05-20 09:32:57.821,system,system,
260,,,,,,Antenna,Антена,antenna,other/antenna,false,0,99,ASBIS,false,2026-05-19 15:47:28.759,2026-05-20 09:32:57.821,system,system,
269,,,,,,Gaming Racing Pedals,Гейминг педали за рейсинг,gaming-racing-pedals,other/gaming-racing-pedals,false,0,167,ASBIS,false,2026-05-19 15:47:28.951,2026-05-20 09:32:57.821,system,system,
253,,,,,,Distribution panel,Разклонители,distribution-panel,,false,0,211,,false,2026-04-02 10:33:40.681,2026-05-20 09:32:57.821,system,system,
455,,,,,,Вентилатори,Вентилатори,ventilatori,drebni-domakinski-uredi/ventilatori,false,0,454,ASBIS,false,2026-05-19 15:47:30.841,2026-05-20 09:32:57.821,system,system,
49,,,,,631,Monitors and displays,Монитори и дисплеи,monitors-and-displays,,true,5,,VALI,false,2026-04-02 10:02:00.934,2026-04-02 10:02:00.934,system,system,
51,,,,,697,,Стойки за монитори,monitor-stands,,true,1,49,VALI,false,2026-04-02 10:02:00.944,2026-04-02 10:02:02.843,system,system,
442,,,,,,Преносим Компютър,Преносим Компютър,prenosim-kompyutar,prenosimi-kompyutri/prenosim-kompyutar,false,0,36,ASBIS,false,2026-05-19 15:47:30.738,2026-05-20 09:32:57.821,system,system,
53,,,,,637,Height adjustable mounts,Системи за монтаж,height-adjustable-mounts,,true,4,49,VALI,false,2026-04-02 10:02:00.948,2026-04-02 10:02:02.844,system,system,
477,,,,,,Кухненски везни,Кухненски везни,kuhnenski-vezni,drebni-domakinski-uredi/kuhnenski-vezni,false,0,454,ASBIS,false,2026-05-19 15:47:30.999,2026-05-20 09:32:57.821,system,system,
478,,,,,,Acc - Multibakers/Grills,Acc - Multibakers/Grills,acc-multibakers-grills,drebni-domakinski-uredi/acc-multibakers-grills,false,0,454,ASBIS,false,2026-05-19 15:47:31.007,2026-05-20 09:32:57.821,system,system,
480,,,,,,Блендери,Блендери,blenderi,drebni-domakinski-uredi/blenderi,false,0,454,ASBIS,false,2026-05-19 15:47:31.024,2026-05-20 09:32:57.821,system,system,
543,,,,,,Figures,Фигурки,kp-figures,,false,13,54,,false,2026-06-23 11:35:33.927,2026-08-06 12:06:45.475,script-23,script-23,181
496,,,,,,Мултиборд,Мултиборд,multibord-asbis,multibord/asbis,false,0,495,ASBIS,false,2026-05-19 15:47:31.141,2026-05-20 09:32:57.821,system,system,
244,"26",,,,,Конектори,Конектори,videonablyudenie-aksesoari-konektori,videonablyudenie/aksesoari/konektori,true,2,234,TEKRA,false,2026-04-02 10:15:20.212,2026-08-19 15:37:53.531,system,system,
246,"28",,,,,Стойки и основи за камери,Стойки и основи за камери,videonablyudenie-aksesoari-stoyki-i-osnovi-za-kameri,videonablyudenie/aksesoari/stoyki-i-osnovi-za-kameri,true,1,234,TEKRA,false,2026-04-02 10:15:20.254,2026-08-19 15:37:53.531,system,system,
25,,,,,688,GPU blocks,Блокове за видеокарти,gpu-blocks,,false,2,23,VALI,false,2026-04-02 10:02:00.883,2026-08-06 12:06:45.475,system,system,
26,,,,,689,Radiators,Радиатори,radiators,,false,3,23,VALI,false,2026-04-02 10:02:00.886,2026-08-06 12:06:45.475,system,system,
27,,,,,690,Pump and reservoir,Помпи и резервоари,pump-and-reservoir,,false,4,23,VALI,false,2026-04-02 10:02:00.888,2026-08-06 12:06:45.475,system,system,
29,,,,,692,Tubing,Тръби,tubing,,false,6,23,VALI,false,2026-04-02 10:02:00.891,2026-08-06 12:06:45.475,system,system,
245,"27",,,,,Видеобалуни,Видеобалуни,videonablyudenie-aksesoari-videobaluni,videonablyudenie/aksesoari/videobaluni,true,3,234,TEKRA,false,2026-04-02 10:15:20.234,2026-08-19 15:37:53.531,system,system,
30,,,,,693,Coolant,Течности,coolant,,false,7,23,VALI,false,2026-04-02 10:02:00.893,2026-08-06 12:06:45.475,system,system,
82,,,,,706,Garment Printer,Принтери за текстил,garment-printer,,false,4,78,VALI,false,2026-04-02 10:02:01.019,2026-08-06 12:06:45.475,system,system,
85,,,,,709,Scanner accessories,Аксесоари за скенери,scanner-accessories,,false,7,78,VALI,false,2026-04-02 10:02:01.027,2026-08-06 12:06:45.475,system,system,
96,,,,,684,"3D printer accessories",Аксесоари за 3D принтери,"3d-printer-accessories",,false,15,78,VALI,false,2026-04-02 10:02:01.054,2026-08-06 12:06:45.475,system,system,
69,,,,,610,Virtual Reality Glasses,VR очила,virtual-reality-glasses,,true,1,68,VALI,false,2026-04-02 10:02:00.982,2026-04-02 10:02:02.989,system,system,
73,,,,,503,UPS,Управляеми UPS-и,managed-ups,,true,1,72,VALI,false,2026-04-02 10:02:00.989,2026-04-02 10:02:02.990,system,system,
74,,,,,396,UPS,Неуправляеми UPS-и,unmanaged-ups,,true,2,72,VALI,false,2026-04-02 10:02:00.990,2026-04-02 10:02:02.990,system,system,
75,,,,,573,UPS accessories,Аксесоари UPS,ups-accessories,,true,3,72,VALI,false,2026-04-02 10:02:00.993,2026-04-02 10:02:02.990,system,system,
76,,,,,397,Voltage Regulators,Стабилизатори,voltage-regulators,,true,4,72,VALI,false,2026-04-02 10:02:00.997,2026-04-02 10:02:02.990,system,system,
77,,,,,571,Inverters,Инвертори,inverters,,true,5,72,VALI,false,2026-04-02 10:02:01.000,2026-04-02 10:02:02.990,system,system,
79,,,,,671,Printers,Лазерни принтери,printers,,true,1,78,VALI,false,2026-04-02 10:02:01.010,2026-04-02 10:02:02.995,system,system,
70,,,,,613,VR Ready PC,VR Ready PC,vr-ready-pc,,false,2,68,VALI,false,2026-04-02 10:02:00.984,2026-05-20 09:32:57.821,system,system,
80,,,,,437,Laser multifunctional devices,Мултифункционални устройства,laser-multifunctional-devices,,true,2,78,VALI,false,2026-04-02 10:02:01.013,2026-04-02 10:02:02.995,system,system,
83,,,,,409,Scanners,Скенери,scanners,,true,5,78,VALI,false,2026-04-02 10:02:01.022,2026-04-02 10:02:02.996,system,system,
84,,,,,683,Printer accessories,Аксесоари за принтери,printer-accessories,,true,6,78,VALI,false,2026-04-02 10:02:01.024,2026-04-02 10:02:02.996,system,system,
597,,,,,,Аксесоари за напитки,Аксесоари за напитки,aksesoari-za-napitki-asbis,aksesoari/za-napitki-asbis,false,0,298,ASBIS,false,2026-08-06 11:58:56.110,2026-08-06 12:06:45.475,ignatov_rs@abv.bg,ignatov_rs@abv.bg,
288,,,,,,Gaming Handbrake,Гейминг ръчна спирачка,gaming-handbrake,other/gaming-handbrake,false,0,167,ASBIS,false,2026-05-19 15:47:29.234,2026-05-20 09:32:57.821,system,system,
88,,,,,448,Cartridges for dot matrix printers,Касети за матрични принтери,cartridges-for-dot-matrix-printers,,true,10,78,VALI,false,2026-04-02 10:02:01.039,2026-04-02 10:02:02.997,system,system,
89,,,,,447,Toner bottles,Бутилки с тонер,toner-bottles,,true,11,78,VALI,false,2026-04-02 10:02:01.041,2026-04-02 10:02:02.997,system,system,
497,,,,,,PC за мултиборд,PC за мултиборд,pc-za-multibord,multibord/pc-za-multibord,false,0,495,ASBIS,false,2026-05-19 15:47:31.148,2026-05-20 09:32:57.821,system,system,
95,,,,,563,"3D printer consumables",Консумативи за 3D принтери,"3d-printer-consumables",,true,14,78,VALI,false,2026-04-02 10:02:01.053,2026-04-02 10:02:02.997,system,system,
92,,,,,718,Laser engraving machines,Лазерни гравиращи машини,laser-engraving-machines,,true,16,78,VALI,false,2026-04-02 10:02:01.048,2026-04-02 10:02:02.997,system,system,
97,,,,,713,Portable printers,Преносими принтери,portable-printers,,true,17,78,VALI,false,2026-04-02 10:02:01.056,2026-04-02 10:02:02.997,system,system,
98,,,,,714,Supplies for portable printers,Консумативи за преносими принтери,supplies-for-portable-printers,,true,18,78,VALI,false,2026-04-02 10:02:01.057,2026-04-02 10:02:02.998,system,system,
461,,,,,,Smart Hairdryer,Смарт сешоар,smart-hairdryer,drebni-domakinski-uredi/smart-hairdryer,false,0,454,ASBIS,false,2026-05-19 15:47:30.882,2026-05-20 09:32:57.821,system,system,
434,,,,,,Звукова Карта,Звукова Карта,zvukova-karta,multimediyni-komponenti/zvukova-karta,false,0,1,ASBIS,false,2026-05-19 15:47:30.681,2026-08-06 12:36:15.225,system,system,
231,"21",hd-analogovi-sistemi,,,,HD аналогови системи,HD аналогови системи,videonablyudenie-hd-analogovi-sistemi,videonablyudenie/hd-analogovi-sistemi,true,1,230,TEKRA,false,2026-04-02 10:15:19.830,2026-08-19 15:14:44.045,system,system,
465,,,,,,Cast Aluminum Cookware,Готварски съдове от алуминий,cast-aluminum-cookware,drebni-domakinski-uredi/cast-aluminum-cookware,false,0,454,ASBIS,false,2026-05-19 15:47:30.910,2026-05-20 09:32:57.821,system,system,
232,"22",ip-sistemi,,,,IP системи,IP системи,videonablyudenie-ip-sistemi,videonablyudenie/ip-sistemi,true,2,230,TEKRA,false,2026-04-02 10:15:19.859,2026-08-19 15:14:44.045,system,system,
236,"25",monitori-i-aksesoari,,,,Монитори и аксесоари,Монитори и аксесоари,videonablyudenie-monitori-i-aksesoari,videonablyudenie/monitori-i-aksesoari,true,6,230,TEKRA,false,2026-04-02 10:15:19.953,2026-08-19 15:14:44.045,system,system,
235,"24",hdd,,,,Твърди дискове,Твърди дискове,videonablyudenie-hdd,videonablyudenie/hdd,true,5,230,TEKRA,false,2026-04-02 10:15:19.932,2026-08-19 15:19:46.656,system,system,
237,"19",,,,,Analog Cameras,Аналогови камери,videonablyudenie-hd-analogovi-sistemi-kameri,videonablyudenie/hd-analogovi-sistemi/kameri,true,1,231,TEKRA,false,2026-04-02 10:15:19.976,2026-08-19 15:37:53.531,system,system,
361,,,,,,Мрежово Устройство за Съхранение на Данни,Мрежово Устройство за Съхранение на Данни,mrezhovo-ustroystvo-za-sahranenie-na-danni,ustroystva-za-sahranenie-na-danni/mrezhovo-ustroystvo-za-sahranenie-na-danni,true,0,99,ASBIS,false,2026-05-19 15:47:29.934,2026-08-19 11:35:50.129,system,system,
116,,,,,636,Interactive floor,Интерактивен под,interactive-floor,,false,2,114,VALI,false,2026-04-02 10:02:02.003,2026-05-20 09:32:57.821,system,system,
123,,,,,633,Radio,Радиа,radio,,false,4,119,VALI,false,2026-04-02 10:02:02.027,2026-05-20 09:32:57.821,system,system,
301,,,,,,Аксесоари,Аксесоари,aksesoari-asbis,aksesoari/asbis,false,0,54,ASBIS,false,2026-05-19 15:47:29.399,2026-05-20 09:32:57.821,system,system,
305,,,,,,Bluetooth Слушалки,Bluetooth Слушалки,bluetooth-slushalki,aksesoari/bluetooth-slushalki,false,0,54,ASBIS,false,2026-05-19 15:47:29.440,2026-05-20 09:32:57.821,system,system,
479,,,,,,Hair Stylers,Стилери за коса,hair-stylers,drebni-domakinski-uredi/hair-stylers,false,0,454,ASBIS,false,2026-05-19 15:47:31.016,2026-05-20 09:32:57.821,system,system,
484,,,,,,PC таблет,PC таблет,pc-tablet,tableti/pc-tablet,false,0,36,ASBIS,false,2026-05-19 15:47:31.053,2026-05-20 09:32:57.821,system,system,
115,,,,,425,Projectors,Проектори,projectors,,true,1,114,VALI,false,2026-04-02 10:02:02.001,2026-04-02 10:02:03.146,system,system,
247,"29",,,,,Защити и изолатори,Защити и изолатори,videonablyudenie-aksesoari-zashtiti-i-izolatori,videonablyudenie/aksesoari/zashtiti-i-izolatori,true,4,234,TEKRA,false,2026-04-02 10:15:20.273,2026-08-19 15:37:53.531,system,system,
117,,,,,427,Screens,Екрани,screens,,true,3,114,VALI,false,2026-04-02 10:02:02.007,2026-04-02 10:02:03.146,system,system,
118,,,,,428,Stands,Стойки и аксесоари,stands,,true,4,114,VALI,false,2026-04-02 10:02:02.011,2026-04-02 10:02:03.146,system,system,
324,,,,,,Централен процесор - сървърен,Централен процесор - сървърен,tsentralen-protsesor-sarvaren,protsesori/tsentralen-protsesor-sarvaren,false,0,1,ASBIS,false,2026-05-19 15:47:29.625,2026-05-20 09:32:57.821,system,system,
120,,,,,464,Portable Speakers,Преносими тонколони,portable-speakers,,true,1,119,VALI,false,2026-04-02 10:02:02.015,2026-04-02 10:02:03.146,system,system,
121,,,,,521,Audio microphone,Аудио микрофони,audio-microphone,,true,2,119,VALI,false,2026-04-02 10:02:02.019,2026-04-02 10:02:03.147,system,system,
122,,,,,432,Media players,Мултимедийни плейъри,media-players,,true,3,119,VALI,false,2026-04-02 10:02:02.023,2026-04-02 10:02:03.147,system,system,
124,,,,,433,eBooks Readers,eBook четци,ebooks-readers,,true,5,119,VALI,false,2026-04-02 10:02:02.029,2026-04-02 10:02:03.147,system,system,
125,,,,,434,eBook Accessories,eBook аксесоари,ebook-accessories,,true,6,119,VALI,false,2026-04-02 10:02:02.031,2026-04-02 10:02:03.147,system,system,
126,,,,,632,Robotics,Роботика,robotics,,true,7,119,VALI,false,2026-04-02 10:02:02.033,2026-04-02 10:02:03.147,system,system,
418,,,,,,Сървърни памети,Сървърни памети,sarvarni-pameti,pamet/sarvarni-pameti,false,0,1,ASBIS,false,2026-05-19 15:47:30.551,2026-05-20 09:32:57.821,system,system,
419,,,,,,Мобилни памети,Мобилни памети,mobilni-pameti,pamet/mobilni-pameti,false,0,1,ASBIS,false,2026-05-19 15:47:30.558,2026-05-20 09:32:57.821,system,system,
420,,,,,,Memory Gaming Mobile,Памет гейминг мобилна,memory-gaming-mobile,pamet/memory-gaming-mobile,false,0,1,ASBIS,false,2026-05-19 15:47:30.563,2026-05-20 09:32:57.821,system,system,
416,,,,,,Memory Gaming Desktop,Памет гейминг настолна,memory-gaming-desktop,pamet/memory-gaming-desktop,false,0,1,ASBIS,false,2026-05-19 15:47:30.533,2026-05-20 09:32:57.821,system,system,
438,,,,,,Графичен процесор,Графичен процесор,grafichen-protsesor,video-adapteri/grafichen-protsesor,false,0,1,ASBIS,false,2026-05-19 15:47:30.712,2026-05-20 09:32:57.821,system,system,
133,,,,,679,PC cables,PC кабели,pc-cables,,true,6,127,VALI,false,2026-04-02 10:02:02.056,2026-04-02 10:02:03.148,system,system,
414,,,,,,Дънна платка настолна,Дънна платка настолна,danna-platka-nastolna,danni-platki/danna-platka-nastolna,false,0,1,ASBIS,false,2026-05-19 15:47:30.514,2026-05-20 09:32:57.821,system,system,
393,,,,,,Шаси,Шаси,shasi,kompyutarni-kutii/shasi,false,0,1,ASBIS,false,2026-05-19 15:47:30.286,2026-05-20 09:32:57.821,system,system,
394,,,,,,Чекмедже за диск,Чекмедже за диск,chekmedzhe-za-disk,kompyutarni-kutii/chekmedzhe-za-disk,false,0,1,ASBIS,false,2026-05-19 15:47:30.302,2026-05-20 09:32:57.821,system,system,
127,,,,,674,Cables,Кабели,cables,,true,13,,VALI,false,2026-04-02 10:02:02.035,2026-08-06 12:37:18.489,system,system,
274,,,,,,VC Docks,Видеоконферентни докинг станции,vc-docks,other/vc-docks,false,0,54,ASBIS,false,2026-05-19 15:47:29.063,2026-05-20 09:32:57.821,system,system,
617,,,,,,Централен процесор - настолен,Централен процесор - настолен,tsentralen-protsesor-nastolen-asbis,protsesori/tsentralen-protsesor-nastolen-asbis,false,0,322,ASBIS,false,2026-08-06 11:58:56.354,2026-08-06 12:06:45.475,ignatov_rs@abv.bg,ignatov_rs@abv.bg,
139,,,,,527,TV,Телевизори,tv,,true,1,138,VALI,false,2026-04-02 10:02:02.068,2026-04-02 10:02:03.149,system,system,
140,,,,,440,TV stand and speakers,Стойки за TV и високоговорители,tv-stand-and-speakers,,true,2,138,VALI,false,2026-04-02 10:02:02.069,2026-04-02 10:02:03.149,system,system,
141,,,,,565,Remote Control,Дистанционни,remote-control,,true,3,138,VALI,false,2026-04-02 10:02:02.073,2026-04-02 10:02:03.149,system,system,
142,,,,,584,Antennas,Антени,antennas,,true,4,138,VALI,false,2026-04-02 10:02:02.076,2026-04-02 10:02:03.149,system,system,
143,,,,,604,Accessories,Аксесоари за TV,tv-accessories,,true,5,138,VALI,false,2026-04-02 10:02:02.078,2026-04-02 10:02:03.149,system,system,
972,,,,,,Power Supply,Захранване,sistemi-prenos-zahranvane,videonablyudenie/sistemi-za-prenos-na-danni-i-elektrozahranvane/zahranvane-254,true,2,970,TEKRA,false,2026-08-19 15:18:41.972,2026-08-19 15:37:53.531,admin,admin,
973,,,,,,Switches,Суичове,sistemi-prenos-suichove,videonablyudenie/sistemi-za-prenos-na-danni-i-elektrozahranvane/suichove-255,true,3,970,TEKRA,false,2026-08-19 15:18:41.972,2026-08-19 15:37:53.531,admin,admin,
2,,,,,500,Motherboards,Дънни платки,motherboards,,true,1,1,VALI,false,2026-04-02 10:02:00.807,2026-04-02 10:02:02.833,system,system,
157,,,,,616,Activity tracker,Фитнес гривни,activity-tracker,,false,3,153,VALI,false,2026-04-02 10:02:02.117,2026-05-20 09:32:57.821,system,system,
321,,,,,,Флаш памети,Флаш памети,flash-pameti,periferni-ustroystva/flash-pameti,true,0,54,ASBIS,false,2026-05-19 15:47:29.599,2026-08-06 11:18:14.208,system,anonymousUser,
158,,,,,572,Wristbands,Каишки за смартчасовници,wristbands,,false,4,153,VALI,false,2026-04-02 10:02:02.119,2026-05-20 09:32:57.821,system,system,
255,,,,,,Navigation systems,Навигации,navigacii,,false,1,182,VALI,false,2026-05-13 14:48:18.488,2026-05-20 09:32:57.821,system,system,
256,,,,,,Cameras/recorders,Камери/рекордери,kameri-rekorderi,,false,2,182,VALI,false,2026-05-13 14:48:18.488,2026-05-20 09:32:57.821,system,system,
516,,,,,,SSD за настолен и мобилен компютър,SSD за настолен и мобилен компютър,ssd-za-nastolen-i-mobilen-kompyutar,ssd/za-nastolen-i-mobilen-kompyutar,false,0,1,ASBIS,false,2026-05-19 15:47:31.309,2026-05-20 09:32:57.821,system,system,
367,,,,,,Твърд диск видеонаблюдение,Твърд диск видеонаблюдение,tvard-disk-videonablyudenie,tvardi-diskove/tvard-disk-videonablyudenie,false,0,1,ASBIS,false,2026-05-19 15:47:29.982,2026-05-20 09:32:57.821,system,system,
368,,,,,,Твърд диск сървърен,Твърд диск сървърен,tvard-disk-sarvaren,tvardi-diskove/tvard-disk-sarvaren,false,0,1,ASBIS,false,2026-05-19 15:47:29.990,2026-05-20 09:32:57.821,system,system,
